team_id,member_id,base_latency,base_throughput,accuracy,latency,throughput,nki_flop_ratio,increased_throughput,reduced_latency,final_score,timestamp
,,526.15,134.61,False,7391.63188457489,90.97124292010223,0.0,0.6758134085142428,0.07118184566225325,0.0,2026-04-20 17:00:46
,,526.15,134.61,False,15289.342405796051,42.406067678635736,0.0,0.3150291039197365,0.03441286001944343,0.0,2026-04-27 23:08:18
,,526.15,134.61,True,14639.042797088623,44.95738985905365,7.484165190483663e-05,0.33398254111175724,0.035941557606801955,8.983881683614099e-07,2026-04-28 16:53:51
,,526.15,134.61,False,7717.01375722885,83.85068295825594,0.0,0.622915704318074,0.06818051859854898,0.0,2026-04-28 17:37:37
,,526.15,134.61,False,6857.966637611389,97.34147497132405,0.993000911632401,0.7231370252679893,0.07672099148374635,0.0,2026-04-29 19:58:43
,,526.15,134.61,True,7414.176123142242,90.59304033543859,0.993000911632401,0.6730037912149066,0.07096540347317909,0.09518569480556258,2026-04-29 22:16:01
,,526.15,134.61,True,6520.599718093872,120.93738557673444,0.9985227008598102,0.8984279442592261,0.08069043074979708,0.14488197952147341,2026-04-30 03:00:44
,,526.15,134.61,True,7143.0868911743155,112.04450687617896,0.9985232070801743,0.8323639170654406,0.07365863078749438,0.12253102956057647,2026-04-30 13:53:43
,,526.15,134.61,False,7190.461540222168,109.40616598045567,0.9985232070801743,0.8127640292731272,0.07317332789513024,0.0,2026-04-30 14:51:04
,,526.15,134.61,False,7378.384132385254,107.65814637148601,0.9985232070801743,0.7997782213170344,0.07130965134908317,0.0,2026-04-30 15:39:28
,,526.15,134.61,True,7245.9380984306335,109.06516267407456,0.9985232070801743,0.8102307605235461,0.07261309617231708,0.11757984357572666,2026-04-30 17:35:42
